,query,title,source,excerpt,date
14,microchip,Microchip Technology (MCHP) Q1 2022 Earnings Call Transcript,The Motley Fool,"Good day, everyone, and welcome to Microchip's first-quarter fiscal 2022 
financial results. As a reminder, today's call is being recorded.",5 days ago
15,microchip,"The Chip Crunch Is On: Solutions to Address the Global Microchip Shortages 
and Future Demands",Yahoo Finance,"The Chip Crunch Is On: Solutions to Address the Global Microchip Shortages 
and Future Demands. Newsfile Corp. Mon, August 9, 2021, 5:00 AM ·10 min 
read.",16 hours ago
16,microchip,"Pet dog licensing: Corp issues tenders for 4,000 microchips",Times of India,"Tenders have been called for the purchase of 4,000 microchip-RFID tags. 
Over 10,000 pet dogs were licensed in the city over the past three years ...",4 hours ago
17,semiconductor,Build an indigenous semiconductor base,The Economic Times,"India must develop a semiconductor manufacturing industry, an industry that 
manufactures the machines that are used to produce chips and an ...",10 hours ago
18,semiconductor,"Global Semiconductors Market and Semiconductor Foundry Market Size, Growth 
Prospects 2021-2026 | Opportunities with New Innovations, Covid-19 Impact, 
Business Strategic, Marketing Channel, Geography Trends, Consumption, and 
Customers Demand",Yahoo Finance,"Global Semiconductors Market and Semiconductor Foundry Market Size, Growth 
Prospects 2021-2026 | Opportunities with New Innovations, Covid-19 ...",17 hours ago
19,semiconductor,The United States is determined to dominate the ...,East Asia Forum,"The United States is determined to dominate the semiconductor tech war. 6 
August 2021. Author: June Park, George Washington University. The United 
States is ...",4 days ago
20,semiconductor,New study program for semiconductor industry,Innovation Origins,"In September, a new program will be launched: the Semiconductor Packaging 
University Program. This was the wish of both chip manufacturers ...",3 days ago
21,semiconductor,Meet The Demand For Semiconductors With These Three ...,Forbes,"Semiconductors are used in the manufacturing of various kinds of electronic 
devices, including diodes, transistors and integrated circuits.",4 days ago
22,semiconductor,Soaring Semiconductor Sales Could Be Super for 'SMH',ETF Trends,"For technology investors in 2021, there's no escaping talk of the global 
semiconductor shortage, but for as onerous as that situation is, ...",12 hours ago
23,semiconductor,QLC at SLC speed: NEO Semiconductor's X-NAND flash ...,Blocks and Files,"NEO Semiconductor has patented X-NAND tech to accelerate SSD writes 
fifteenfold, and shrink die sizes. Two patents were awarded on August 5.",3 days ago
24,semiconductor,Biden looks to techno-alliances to chip in on semiconductors,East Asia Forum,"This strategy is quietly taking shape in Japan, South Korea and Taiwan, as 
US President Joe Biden sets out to rebuild the semiconductor ...",2 weeks ago
25,semiconductor,Spate of Solid Q2 Earnings Fuel Semiconductor ETFs,Yahoo Finance,"Semiconductor Earnings in Focus ... Texas Instruments reported earnings per 
share of $2.05, easily surpassing the Zacks Consensus Estimate by 23 ...",12 hours ago
26,semiconductor,The Semiconductor Shortage: Implications for the Global ...,DBusiness Magazine,"Semiconductors, more commonly known as chips, are tiny electronic devices 
that power the functions of an abundance of digital products, ...",1 week ago
27,microchip,"Microchip Technology Inc. stock falls Friday, underperforms market",MarketWatch,"Shares of Microchip Technology Inc. MCHP, -0.37% shed 0.03% to $149.73 
Friday, on what proved to be an all-around favorable trading session ...",3 days ago
28,microchip,Microchip Technology Declares Quarterly Cash Dividend ...,GlobeNewswire,"CHANDLER, Ariz., Aug. 03, 2021 (GLOBE NEWSWIRE) -- (NASDAQ: MCHP) – 
Microchip Technology Incorporated, a leading provider of smart, ...",6 days ago
29,microchip,Microchip Shortage Causes Vehicle Shortage For Central ...,WGLT,"Microchips are essential to modern vehicles for a multitude of things, from 
backup cameras to comfort features. Mangold Ford in Eureka and ...",3 weeks ago
30,microchip,"Arm’s cheap and flexible plastic microchip could create an ‘internet of 
everything’",The Verge,"If you think microchips are ubiquitous now, appearing in everything from 
washing machines to lampposts, just wait until circuits can be ...",2 weeks ago
31,microchip,"Microchip Technology Inc. stock rises Thursday, outperforms market",MarketWatch,"Shares of Microchip Technology Inc. MCHP, -0.03% rose 1.54% to $149.78 
Thursday, on what proved to be an all-around great trading session ...",4 days ago
32,microchip,The latest numbers on the automotive microchip shortage,Automotive News Canada,"Vehicle production schedules saw minor trims last week due to the worldwide 
shortage in microchips, but no major changes.",1 day ago
33,microchip,The failure of China's microchip giant tests Beijing's tech ambitions,The Business Times,"Six years on, China's would-be microchip champion looks more like a 
national disappointment. The company, Tsinghua Unigroup, said this month ...",3 weeks ago
34,microchip,"Microchip Technology Inc. stock underperforms Wednesday when compared to 
competitors despite daily gains",MarketWatch,"Microchip Technology Inc. stock underperforms Wednesday when compared to 
competitors despite daily gains. Published: Aug. 4, 2021 at 5:07 p.m. ...",5 days ago
35,semiconductor,New semiconductor cools computer chips – Physics World,Physics World,"Most semiconductors (including silicon, germanium, gallium arsenide and 
gallium nitride) and metals have Debye temperatures below 700 K, ...",4 days ago
36,semiconductor,Guangdong Province plans to phase in local semiconductor ...,Global Times,"South China's Guangdong Province on Monday unveiled a vision for the 
creation of a comprehensive semiconductor industry supply chain as part ...",15 hours ago
37,semiconductor,Foxconn to Buy Semiconductor Manufacturing Facility,The Wall Street Journal,"Foxconn to Buy Semiconductor Manufacturing Facility. The world's largest 
assembler of Apple iPhones says the purchase will help secure a steady ...",4 days ago
38,semiconductor,"Security concerns over chip shortage are pushing governments to act, 
Moody’s says",CNBC,"More countries are pushing to produce their own semiconductor chips, which 
are in short supply globally, because “it's a matter of national ...",6 days ago
39,semiconductor,BlackRock launches semiconductor ETF,ETF Stream,"BlackRock has expanded its thematic ETF range with the launch of a global 
semiconductor strategy. The iShares MSCI Global Semiconductors UCITS ...",4 days ago
40,semiconductor,Semiconductor global shortage impacting Barrie | CTV News,CTV News Barrie,"-- A global shortage of semiconductors, a small computer chip used in new 
vehicles, is leaving many car dealerships in Barrie looking empty. “It ...",5 hours ago
41,semiconductor,"Miami builder has more homes coming near future Taiwan Semiconductor plant 
in north Phoenix",ABC15 Arizona,"PHOENIX — Hundreds of homes are being planned near the Taiwan Semiconductor 
Manufacturing Co. Ltd.'s 1,128-acre manufacturing plant under ...",11 hours ago
42,semiconductor,Why US-China Rivalry Might Be Good for Singapore's ...,The Diplomat,"Chartered Semiconductor was meant to help turn Singapore into a global 
manufacturing hub for semiconductors and computer components and for a ...",4 weeks ago
43,semiconductor,Demand for Taiwan's semiconductor industry to stay strong ...,Taiwan News,"According to the updated foundry capacity forecasts for next year by Taiwan 
Semiconductor Manufacturing Corp. (TSMC) and United Microelectronics ...",5 days ago
44,semiconductor,Semiconductors: Europe’s expensive plan to reach the top tier of chipmakers,Financial Times,"While semiconductors are a prerequisite for emerging technologies such as 
artificial intelligence, quantum computing and autonomous vehicles, it ...",3 weeks ago
45,microchip,"Microchip Technology Inc. stock falls Thursday, underperforms market",MarketWatch,"Shares of Microchip Technology Inc. MCHP, -0.03% slid 1.62% to $138.38 
Thursday, on what proved to be an all-around favorable trading ...",2 weeks ago
46,microchip,Infineon production outages compound microchip supply crunch,Automotive News,"Breadcrumb. Home · Microchips ... Related Article. The latest numbers on 
the microchip shortage: GM, VW plants cut back ...",6 days ago
47,microchip,"Microchip accelerators: Physics Today: Vol 74, No 8",Physics Today,"Microchip accelerators. An international collaboration aims to couple 
ultrafast lasers with integrated photonics to create chip-scale devices.",1 week ago
48,microchip,Rep. Elissa Slotkin Discusses Microchip Shortage ...,WDET,"Because so many microchips are used in cars, auto manufacturers have 
delayed distribution of certain cars and stopped factories from operating.",1 month ago
49,microchip,Microchip Announces Production Shipments of Industry's First ...,GlobeNewswire,"Microchip Technology Inc. (Nasdaq: MCHP) today announced the Adaptec® Smart 
Storage PCIe® Gen 4 NVMe Tri-Mode SmartRAID 3200 RAID Adapters, and ...",3 weeks ago
50,microchip,Turn Your Nail Into A Business Card With This Microchip ...,Intelligent Living,"For example, a beauty salon in Dubai called Lanour Beauty Lounge introduced 
a unique manicure called the 'microchip manicure' or ('smart ...",1 week ago
51,microchip,China gets serious about microchips,Developing Telecoms,"China is developing high-end microchip production at an unprecedented rate 
and mass production of domestic 14nm chips will be realized next ...",2 weeks ago
52,microchip,"Microchip Technology Inc. stock outperforms competitors on strong trading 
day",MarketWatch,"Shares of Microchip Technology Inc. MCHP, -0.03% rose 1.31% to $144.99 
Monday, on what proved to be an all-around grim trading session for ...",1 week ago
53,microchip,"As global demand for microchips surges, tech giants go all-in on Israel",The Times of Israel,"As global demand for microchips surges, tech giants go all-in on Israel. 
Google, Microsoft, Facebook, Intel and Nvidia are setting up or ...",2 weeks ago
54,semiconductor,Now there’s worry the chip shortage will turn into a chip glut,Fortune,"... a shortage in semiconductors—the components vital to controlling ... to 
advance capacity in the domestic semiconductor industry,” says ...",6 days ago
55,semiconductor,TSMC and Samsung: Semiconductor Chip Shortage – The ...,The Diplomat,"The impact of the pandemic led to a surprising surge in demand for 
semiconductors, which no one anticipated. The result has been long 
queues ...",1 week ago
56,semiconductor,"On Semiconductor Is a Buy, Traders Should Add to Longs",RealMoney,"El-Khoury said that On Semiconductor is working around the clock in order 
to meet the demand for chips, especially in the automotive sector.",12 hours ago
57,semiconductor,Singapore's semiconductor industry faces intensifying global competition,The Business Times,"THE semiconductor industry in Singapore faces increasing global 
competition, according to Minister of State for Trade and Industry Alvin 
Tan ...",2 weeks ago
58,semiconductor,Applied Materials Launches New Semiconductor Inspection ...,Pharmaceutical Technology,"Concept: US-based semiconductor equipment manufacturer Applied Materials 
launched optical semiconductor wafer inspection machines using AI ...",21 hours ago
59,semiconductor,ON Semiconductor Offering An Exciting Growth And Margin Leverage Story,Seeking Alpha,"ON Semiconductor reported better than expected second quarter earnings, 
helped by white-hot demand and internal margin improvement efforts.",8 hours ago
60,semiconductor,5 Solid Stocks to Buy on a Booming Semiconductor Market,Yahoo Finance,"With demand for semiconductors on the rise, global sales once again moved 
northward in June. According to the Semiconductor Industry Association ...",4 days ago
61,semiconductor,"Onsemi, formerly ON Semiconductor, now pledges to be net-zero by 2040, CEO 
says",CNBC,"ON Semiconductor, now known as Onsemi, plans to achieve net-zero emissions 
by 2040, president and CEO Hassane El-Khoury told CNBC's Jim Cramer ...",4 days ago
62,semiconductor,Analysts up Inari Amertron TPs after semiconductor maker ...,The Edge Markets,"Last Friday, Inari, which also offers outsourced semiconductor assembly and 
test services, said in a Bursa Malaysia filing that its net ...",22 hours ago
63,semiconductor,SNPT Supplies Semiconductor Samples 'within 2 days' from 8 weeks,ETNEWS,"SNPT, a small and medium-sized semiconductor packaging company in Korea, 
has commercialized a technology for packaging semiconductors of ...",20 hours ago
64,microchip,Gastonia car dealers hit by microchip shortage as new car demand soars,Gaston Gazette,"As a reward for expanding, Honda rewarded the dealership with an additional 
300 cars – already fitted with necessary microchips – from ...",6 days ago
65,microchip,Microchip Accelerates Development of Automotive and ...,EE Times Asia,"To meet the requirements of the specification, Microchip Technology Inc. 
has launched the Qi 1.3 wireless charging reference design providing ...",3 weeks ago
66,microchip,"Microchip Technology Inc. stock underperforms Tuesday when compared to 
competitors",MarketWatch,"Shares of Microchip Technology Inc. MCHP, +0.20% slid 2.47% to $135.95 
Tuesday, on what proved to be an all-around poor trading session for ...",2 weeks ago
67,microchip,Microchip Technology Inc. stock outperforms market on strong trading day,MarketWatch,"Shares of Microchip Technology Inc. MCHP, -0.03% rose 2.28% to $141.03 
Thursday, on what proved to be an all-around positive trading session ...",1 week ago
68,microchip,ARM Unveils Flexible Plastic Microchip,ExtremeTech,"Well, flexible CPUs appear to be the flavor of the day over at ARM. The 
company's new experimental system-on-a-chip (SoC) that uses plastic ...",2 weeks ago
69,microchip,Microchip Technology Inc. stock outperforms market despite losses on the day,MarketWatch,"Microchip Technology Inc. stock outperforms market despite losses on the 
day. Published: July 19, 2021 at 5:07 p.m. ET. By. MarketWatch Automation. 
Comments ...",3 weeks ago
70,microchip,"A Russian doctor has injected microchip implants into his hands to make 
life easier",Euronews,"A Russian doctor has injected microchip implants into his hands to make 
life easier. A photo of an X-ray of the electronic chips Russian ...",4 weeks ago
71,microchip,"Microchip Technology Inc. stock falls Tuesday, underperforms market",MarketWatch,"Shares of Microchip Technology Inc. MCHP, -0.03% shed 1.55% to $143.93 
Tuesday, on what proved to be an all-around grim trading session for ...",4 weeks ago
72,microchip,"False claim that COVID-19 vaccines contain microchips emerged from 
entrenched theory about ‘world elite’",Oregon Live,"False claim that COVID-19 vaccines contain microchips emerged from 
entrenched theory about 'world elite'. Updated Jul 30, 2021; Posted Jul 
29, ...",1 week ago
73,semiconductor,Global semiconductor sales increase 29.2% to US$44.5bil in ...,The Star,"PETALING JAYA: Worldwide sales of semiconductors rose 29.2% to ... SIA 
represents 98% of the US semiconductor industry by revenue and ...",1 week ago
74,semiconductor,Semiconductor sector outlook continues to be bullish,The Star,"Within its semiconductor sector coverage, the research unit has “buy” calls 
on Inari Amertron Bhd (target price: RM4.25), Unisem (M) Bhd (target ...",5 days ago
75,semiconductor,Morse Micro dodges semiconductor crisis thanks to strong ...,Financial Review,"Australia's largest semiconductor company, Morse Micro, has shaken off the 
global semiconductor shortage to ramp up the production of its ...",1 day ago
76,semiconductor,Semiconductor quantum dots: Technological progress and ...,Science,"Semiconductor materials feature optical and electronic properties that can 
be engineered through their composition and crystal structure. The ...",4 days ago
77,semiconductor,"Should You Buy Applied Materials, Inc. (AMAT) in Semiconductor Equipment & 
Materials Industry?",InvestorsObserver,"... Inc. (AMAT) in Semiconductor Equipment & Materials Industry? Monday, 
August 09, 2021 06:37 AM | InvestorsObserver Analysts. Should You Buy 
Applied ...",17 hours ago
78,semiconductor,SMC 2021 to Highlight Semiconductor Materials Powering ...,HPCwire,"Themed Leading Future Technology Innovations with Materials, SMC 2021 will 
gather leaders from every segment of semiconductor manufacturing to ...",6 days ago
79,semiconductor,Chinese chipmakers slump after Beijing sends speculation warning,The Business Times,"Shanghai-listed Will Semiconductor Co fell 5.7 per cent, while Hubei Tech 
Semiconductors Co was down 3.3 per cent. For investors, the warning ...",6 hours ago
80,semiconductor,The 10 Biggest Semiconductor News Stories Of 2021 (So Far),CRN,"The global chip shortage is easily the biggest story of the semiconductor 
industry this year, but there have been plenty of other major ...",2 weeks ago
81,semiconductor,Semiconductor Surface States Enhance Wavelength ...,Photonics.com,"Semiconductor Surface States Enhance Wavelength Conversion ... LOS ANGELES, 
Aug. 3, 2021 — Electrical engineers from the UCLA Samueli School of 
Engineering ...",6 days ago
82,microchip,"Microchip Technology Inc. stock falls Wednesday, underperforms market",MarketWatch,"Shares of Microchip Technology Inc. MCHP, -0.03% slid 0.27% to $143.54 
Wednesday, on what proved to be an all-around great trading session ...",4 weeks ago
83,microchip,Are there microchips in vaccines? Is Fauci Satan?,The Nevada Independent,"There are microchips which broadcast low power radio frequencies, of 
course, as any pet owner can confirm. They're just not small enough to 
fit ...",2 weeks ago
84,microchip,Microchip First to Achieve JEDEC Qualification for RT FPGA in ...,EE Times Asia,"Microchip's radiation-tolerant FPGA offers the low cost of a 
JEDEC-qualified plastic package plus the proven reliability of RTG4 FPGA ...",4 weeks ago
85,microchip,South Oxhey woman fails to update dog's microchip details,Watford Observer,"A dog owner from South Oxhey has been fined hundreds of pounds for not 
updating her pet's microchip details. Paula Rogers, of Clitheroe ...",5 days ago
86,microchip,"Semiconductor Stocks On The Move: Lattice, Microchip, NXP",Investor's Business Daily,"Microchip stock rose 0.8% in late trades after posting a beat-and-raise 
quarterly report. SkyWater stock was not active in extended trading ...",6 days ago
87,microchip,Volkswagen China sees microchip supply shortage easing,Automotive News,"BEIJING -- Volkswagen Group's top executive in China said he expected 
supplies of microchips to improve in the next six months.",3 weeks ago
88,microchip,"Microchip Technology Inc. stock rises Monday, still underperforms market",MarketWatch,"Microchip Technology Inc. stock rises Monday, still underperforms market. 
Published: July 26, 2021 at 5:07 p.m. ET. By. MarketWatch Automation. 
Comments ...",2 weeks ago
89,microchip,ADVICE ON PETS: Check the Chip day is coming. This is why it's a good idea.,Newport Daily News,"Using the information on that microchip, they were able to find the little 
... why it's so important to have your dog or cat microchipped.",2 days ago
90,microchip,Peking University Jumps on the Microchip Education ...,Caixin Global,"... becoming the latest higher education institution in China to create a 
school specializing in microchips as Beijing pursues a strategy of ...",3 weeks ago
91,microchip,Microchip shortage hits Jeep Gladiator production,Detroit News,"A global shortage of microchips is hitting more truck production, with the 
Jeep Gladiator its latest victim. Stellantis NV's Toledo South ...",1 week ago
92,semiconductor,Semiconductors pose an unwelcome roadblock for carmakers,The Economist,"A shortage of semiconductors has left car firms unable to install the ... 
car firms found themselves low in the semiconductor pecking order: ...",5 days ago
93,semiconductor,"Semiconductor and Electronic Parts Manufacturing Market Report 2021 - 
Global Growth, Trends, COVID-19 Impact, and Forecasts to 2026 - 
ResearchAndMarkets.com",Yahoo Finance,"The overall semiconductor industry has been driven by smartphones and other 
applications across consumer electronics, automotive applications, ...",3 days ago
94,semiconductor,ON Semiconductors Investing in its Automotive Future,Nasdaq,"As the semiconductor shortage persists, acting as a drag on automotive and 
other electrical-heavy industries, the actual companies doing the ...",17 hours ago
95,semiconductor,IShares PHLX Semiconductor ETF Rated Best Among Top Tech ETFs,Forbes,"The Direxion Daily Semiconductors Bull 3x Shares is our final Best-rated 
ETF. This is a leveraged ETF with exposure to the semiconductor space.",11 hours ago
96,semiconductor,The Global Semiconductor Shortage Persist for more than ...,ELE Times,"“Semiconductor manufacturing is a globally intertwined ecosystem, which 
makes the supply chain vulnerable to macroeconomics, geopolitics and ...",3 weeks ago
97,semiconductor,Semiconductor equipment sales to hit US$100bn,Taipei Times,"The global semiconductor equipment market is forecast to expand to a 
record-high US$100 billion next year, with Taiwan regaining its top ...",3 weeks ago
98,semiconductor,U.K. Sold Off $42 Billion of Semiconductor Firms Before Review,Bloomberg.com,"The U.K. was once the leading semiconductor innovator in Europe, producing 
the likes of Arm Ltd., whose technology is found in 90% of all ...",1 month ago
99,semiconductor,"Global semiconductor shortage: More challenging times ahead for Europe’s 
major carmakers",Euronews,"BMW and Stellantis became the latest major carmakers to warn on Tuesday 
that the global semiconductor chip shortage that has bedeviled the ...",6 days ago
100,semiconductor,"SoftBank Leads $200 Million Investment In Semiconductor Startup, Boosts 
Logistics Chip Space",Forbes,"A $200 million funding round led by Japanese billionaire Masayoshi Son's 
SoftBank gave a little-known California-based semiconductor startup ...",1 week ago
101,microchip,"Alarming number of Americans think vaccines contain microchips to control 
people | TheHill",TheHill,"Alarming number of Americans think vaccines contain microchips to control 
people ... The US government is using the vaccine to microchip the ...",3 weeks ago
102,microchip,20% of Americans believe microchips are in COVID-19 vaccines: YouGov study,Insider,"The microchip conspiracy suggests that the entire pandemic has been a cover 
to create and inject trackable microchips—Microsoft co-founder Bill ...",3 weeks ago
103,microchip,"1 in 5 Americans believes microchips are hidden in COVID vaccines, poll 
finds",Miami Herald,"Around 20% of Americans believe the government uses COVID vaccines to 
microchip people, according to a recent poll.",3 weeks ago
104,microchip,The latest numbers on the automotive microchip shortage,Automotive News Canada,"North American and European assembly plants continue to adjust production 
schedules as automakers cope with reduced deliveries of microchips.",1 week ago
105,microchip,Michigan buyers ask: Where are the cars? Microchip shortage ...,Bridge Michigan,"Microchip shortage decimates inventory. empty lot. Car dealers statewide 
like this one in Fowlerville have a unique problem: They don ...",6 days ago
106,microchip,"No, the Covid vaccine doesn't have a microchip. How US ...",The Star,"No, the Covid vaccine doesn't have a microchip. How US doctors are fighting 
misinformation ...",5 days ago
107,microchip,Windsor's first drive-thru microchip clinic huge success,Windsor Star,"A microchip is a small electronic chip, about the size of a grain of rice, 
which is implanted just under the skin without sedation. It contains ...",1 month ago
108,microchip,The global chip shortage: What's going on?,RedShark News,"The vast majority of microchip manufacturing, by sheer count of parts, 
isn't anything like that. It's the microcontroller that runs your 
washing ...",2 weeks ago
109,microchip,WATCH: Utah scientist explains why there aren't any ...,Fox 13,"Not only is it not true, but it's also scientifically impossible to make a 
microchip small enough to fit through a hypodermic needle and be ...",2 weeks ago
110,microchip,Mary Barra Says Microchip Shortage Won't Impact GM's EV Rollout,GM Authority,"So far, General Motors has contended with the ongoing global microchip 
shortage by prioritizing production of its most popular and ...",4 days ago
111,semiconductor,Semiconductor stocks are rallying — and they still look like bargains,MarketWatch,"But chip makers as a group trade below the broad indexes on a 
price-to-earnings basis. Below is a list of the 10 semiconductor 
companies ...",1 week ago
112,semiconductor,Semiconductor subsidies have skyrocketed,Morning Brew,"Semiconductor subsidies have skyrocketed. From 2000-2020, the US, EU, and 
South Korea spent $12.5 billion total on chips—now, they've pledged a ...",2 weeks ago
113,semiconductor,"With Auto Chip Shortage Easing, Are Semiconductor Equipment Stocks Still A 
Buy?",Forbes,"The stocks in the theme have had a relatively mixed couple of days, driven 
by news from TSMC, the largest semiconductor contract manufacturer, ...",3 weeks ago
114,semiconductor,Hemlock Semiconductor to integrate QSS employees,Midland Daily News,"Hemlock Semiconductor Operations (HSC) is updating its partnership with 
Qualified Staffing (QSS) by assuming direct operational control of ...",19 hours ago
115,semiconductor,China’s semiconductor output hits record in June with support from Beijing,South China Morning Post,"China's semiconductor output hits record high as Beijing boosts local 
production amid intensifying US-China tech war · China's integrated 
circuit ...",3 weeks ago
116,semiconductor,"Instead of EV Stocks, Consider These 3 Chip Stocks",The Motley Fool,"But here's an alternative: semiconductor stocks. Semiconductors are the 
basic building blocks of all technology, and they're gobbling up ...",3 days ago
117,semiconductor,How Semiconductor Shortages Have Taken A Chip Out Of The Global Supply Chain,Forbes,"While news reports on the semiconductor shortage has focused on the 
automotive industry, most consumer electronics and hi-tech companies will 
be ...",4 weeks ago
118,semiconductor,Chipmakers worry industry will make too many semiconductors,The Business Times,"The entire chip industry is cranking up investments to meet the surging 
demand. Taiwan Semiconductor Manufacturing, the world's top chipmaker, ...",2 weeks ago
119,semiconductor,Biden administration sounds the alarm on the semiconductor crisis,Fortune,"Semiconductors, or computer chips, act as the brains that power our 
technological devices. These chips, now smaller than a stamp and thinner ...",3 weeks ago
120,microchip,Boom in remote technology means a microchip shortage for ...,CBC.ca,"Greg Layson, digital and mobile editor at Automotive News Canada, says a 
shortage of microchips is leaving automakers in the lurch, ...",1 week ago
121,microchip,Facts Matter: Pet reader doesn't show microchip from ...,Daily Herald,Facts Matter: Pet reader doesn't show microchip from coronavirus vaccine.,3 weeks ago
122,microchip,No End In Sight for Auto Supply Shortage,National Law Review,"The impacts of pandemic supply constraints and a global microchip shortage 
have combined to shrink inventory. June sales saw a significant ...",1 week ago
123,microchip,Chinese Chipmakers Slump as Beijing Sends Speculation Warning,BloombergQuint,"(Bloomberg) -- China's microchip industry is feeling the heat of Beijing's 
regulatory scrutiny. · A warning in state media Friday that regulators ...",23 hours ago
124,microchip,Microchip-maker sale to China bigger UK threat than Huawei – ex-cyber boss,Evening Standard,"he sale of a Welsh microchip manufacturer to a Chinese-backed company poses 
a greater threat to Britain's interests than Huawei's ...",2 weeks ago
125,microchip,"Tata Motors Q1 net loss narrows to Rs4,451cr but microchip shortage hits 
JLR schedules and profits substantially",IndiaInfoline,"Apart from the COVID 2.0 related pressures, which were confined to India. 
JLR saw pressure on sequential volumes due to a shortage of microchips ...",2 weeks ago
126,microchip,Pete McMartin: On world domination and those vaccine 'microchips',Vancouver Sun,"He made no mention of microchips. That response led to one widely shared 
article, under the headline: 'Bill Gates will use microchip ...",1 week ago
127,microchip,Humane Society of Parkersburg to hold $5 microchipping event,WTAP,"Executive Director Gary McIntyre said microchipping makes it much easier 
for a shelter to get in contact with you if your pet is lost and ...",3 days ago
128,microchip,New cars are in limited supply in Alaska amid the microchip ...,Anchorage Daily News,"New cars are in limited supply in Alaska amid the microchip shortage. 
Prices for used cars are soaring. pencil Author: Alex DeMarban. clock ...",2 weeks ago
129,semiconductor,"Why Did Chip Stocks Climb Thursday? Global Semiconductor Shortage Fuels 
Gains.",Barron's,"Several auto semiconductor manufacturers such as On Semiconductor (ON) and 
NXP Semiconductors (NXPI) also saw their share prices climb briskly.",1 week ago
130,semiconductor,Chinese Chipmakers Slump as Beijing Sends Speculation Warning,Yahoo Finance,"Shanghai-listed Will Semiconductor Co. fell 5.7%, while Hubei Tech 
Semiconductors Co. was down 3.3%.",19 hours ago
131,semiconductor,This Semiconductor Growth Stock Just Crushed Earnings,The Motley Fool,"Cohu is seeing robust demand for its semiconductor-related products and 
services. While keeping expenses under control in Q2, Cohu grew revenue ...",4 days ago
132,semiconductor,"Wide Band Gap Semiconductor Market to Showcase Robust Growth and Is Poised 
To Reach USD 9942.8mn By 2026 -",Global Banking & Finance Review -,"Wide Band Gap Semiconductor Market to Showcase Robust Growth and Is Poised 
To Reach USD 9942.8mn By 2026 – Decisive Markets Insights ... Forecasting 
and Execution ...",12 hours ago
133,semiconductor,"Industry, Unions Urge Congress to Speed Semiconductor Bills",Bloomberg.com,"Congress must act quickly to bolster semiconductor manufacturing in the 
U.S., according to a letter from several trade groups and unions ...",2 weeks ago
134,semiconductor,"Ford expects semiconductor rebound, new vehicle demand to increase 2021 
profits",TechCrunch,"Despite semiconductor shortages peaking during the second quarter of 2021, 
Ford says it delivered better-than-expected operating results by ...",2 weeks ago
